PassengerId,Survived,Sex,Age,SibSp,Parch,Fare
1,False,male,22,1,0,"7,25"
2,True,female,38,1,0,"71,2833"
3,True,female,26,0,0,"7,925"
4,True,female,35,1,0,"53,1"
5,False,male,35,0,0,"8,05"
7,False,male,54,0,0,"51,8625"
8,False,male,2,3,1,"21,075"
9,True,female,27,0,2,"11,1333"
10,True,female,14,1,0,"30,0708"
12,True,female,58,0,0,"26,55"
13,False,male,20,0,0,"8,05"
15,False,female,14,0,0,"7,8542"
16,True,female,55,0,0,16
17,False,male,2,4,1,"29,125"
19,False,female,31,1,0,18
21,False,male,35,0,0,26
22,True,male,34,0,0,13
23,True,female,15,0,0,"8,0292"
11,True,female,4,1,1,"16,7"
25,False,female,8,3,1,"21,075"
26,True,female,38,1,5,"31,3875"
28,False,male,19,3,2,263
31,False,male,40,0,0,"27,7208"
34,False,male,66,0,0,"10,5"
35,False,male,28,1,0,"82,1708"
36,False,male,42,1,0,52
38,False,male,21,0,0,"8,05"
39,False,female,18,2,0,18
40,True,female,14,1,0,"11,2417"
41,False,female,40,1,0,"9,475"
42,False,female,27,1,0,21
44,True,female,3,1,2,"41,5792"
45,True,female,19,0,0,"7,8792"
50,False,female,18,1,0,"17,8"
51,False,male,7,4,1,"39,6875"
52,False,male,21,0,0,"7,8"
53,True,female,49,1,0,"76,7292"
54,True,female,29,1,0,26
55,False,male,65,0,1,"61,9792"
57,True,female,21,0,0,"10,5"
59,True,female,5,1,2,"27,75"
60,False,male,11,5,2,"46,9"
61,False,male,22,0,0,"7,2292"
62,True,female,38,0,0,80
63,False,male,45,1,0,"83,475"
64,False,male,4,3,2,"27,9"
67,True,female,29,0,0,"10,5"
68,False,male,19,0,0,"8,1583"
69,True,female,17,4,2,"7,925"
70,False,male,26,2,0,"8,6625"
71,False,male,32,0,0,"10,5"
72,False,female,16,5,2,"46,9"
73,False,male,21,0,0,"73,5"
74,False,male,26,1,0,"14,4542"
75,True,male,32,0,0,"56,4958"
76,False,male,25,0,0,"7,65"
80,True,female,30,0,0,"12,475"
81,False,male,22,0,0,9
82,True,male,29,0,0,"9,5"
84,False,male,28,0,0,"47,1"
85,True,female,17,0,0,"10,5"
86,True,female,33,3,0,"15,85"
87,False,male,16,1,3,"34,375"
89,True,female,23,3,2,263
90,False,male,24,0,0,"8,05"
91,False,male,29,0,0,"8,05"
92,False,male,20,0,0,"7,8542"
93,False,male,46,1,0,"61,175"
94,False,male,26,1,2,"20,575"
95,False,male,59,0,0,"7,25"
97,False,male,71,0,0,"34,6542"
98,True,male,23,0,1,"63,3583"
99,True,female,34,0,1,23
100,False,male,34,1,0,26
101,False,female,28,0,0,"7,8958"
103,False,male,21,0,1,"77,2875"
104,False,male,33,0,0,"8,6542"
105,False,male,37,2,0,"7,925"
106,False,male,28,0,0,"7,8958"
107,True,female,21,0,0,"7,65"
109,False,male,38,0,0,"7,8958"
111,False,male,47,0,0,52
113,False,male,22,0,0,"8,05"
114,False,female,20,1,0,"9,825"
115,False,female,17,0,0,"14,4583"
116,False,male,21,0,0,"7,925"
118,False,male,29,1,0,21
119,False,male,24,0,1,"247,5208"
120,False,female,2,4,2,"31,275"
121,False,male,21,2,0,"73,5"
125,False,male,54,0,1,"77,2875"
126,True,male,12,1,0,"11,2417"
128,True,male,24,0,0,"7,1417"
130,False,male,45,0,0,"6,975"
131,False,male,33,0,0,"7,8958"
132,False,male,20,0,0,"7,05"
133,False,female,47,1,0,"14,5"
134,True,female,29,1,0,26
135,False,male,25,0,0,13
136,False,male,23,0,0,"15,0458"
137,True,female,19,0,2,"26,2833"
138,False,male,37,1,0,"53,1"
139,False,male,16,0,0,"9,2167"
140,False,male,24,0,0,"79,2"
142,True,female,22,0,0,"7,75"
143,True,female,24,1,0,"15,85"
144,False,male,19,0,0,"6,75"
145,False,male,18,0,0,"11,5"
146,False,male,19,1,1,"36,75"
147,True,male,27,0,0,"7,7958"
148,False,female,9,2,2,"34,375"
150,False,male,42,0,0,13
151,False,male,51,0,0,"12,525"
152,True,female,22,1,0,"66,6"
156,False,male,51,0,1,"61,3792"
157,True,female,16,0,0,"7,7333"
158,False,male,30,0,0,"8,05"
161,False,male,44,0,1,"16,1"
162,True,female,40,0,0,"15,75"
163,False,male,26,0,0,"7,775"
164,False,male,17,0,0,"8,6625"
165,False,male,1,4,1,"39,6875"
166,True,male,9,0,2,"20,525"
168,False,female,45,1,4,"27,9"
170,False,male,28,0,0,"56,4958"
171,False,male,61,0,0,"33,5"
172,False,male,4,4,1,"29,125"
173,True,female,1,1,1,"11,1333"
174,False,male,21,0,0,"7,925"
175,False,male,56,0,0,"30,6958"
176,False,male,18,1,1,"7,8542"
178,False,female,50,0,0,"28,7125"
179,False,male,30,0,0,13
180,False,male,36,0,0,0
183,False,male,9,4,2,"31,3875"
184,True,male,1,2,1,39
185,True,female,4,0,2,"22,025"
188,True,male,45,0,0,"26,55"
189,False,male,40,1,1,"15,5"
190,False,male,36,0,0,"7,8958"
191,True,female,32,0,0,13
192,False,male,19,0,0,13
193,True,female,19,1,0,"7,8542"
194,True,male,3,1,1,26
195,True,female,44,0,0,"27,7208"
196,True,female,58,0,0,"146,5208"
198,False,male,42,0,1,"8,4042"
200,False,female,24,0,0,13
201,False,male,28,0,0,"9,5"
203,False,male,34,0,0,"6,4958"
205,True,male,18,0,0,"8,05"
206,False,female,2,0,1,"10,4625"
207,False,male,32,1,0,"15,85"
208,True,male,26,0,0,"18,7875"
209,True,female,16,0,0,"7,75"
210,True,male,40,0,0,31
211,False,male,24,0,0,"7,05"
212,True,female,35,0,0,21
213,False,male,22,0,0,"7,25"
214,False,male,30,0,0,13
216,True,female,31,1,0,"113,275"
217,True,female,27,0,0,"7,925"
218,False,male,42,1,0,27
219,True,female,32,0,0,"76,2917"
220,False,male,30,0,0,"10,5"
221,True,male,16,0,0,"8,05"
222,False,male,27,0,0,13
223,False,male,51,0,0,"8,05"
226,False,male,22,0,0,"9,35"
227,True,male,19,0,0,"10,5"
229,False,male,18,0,0,13
231,True,female,35,1,0,"83,475"
232,False,male,29,0,0,"7,775"
233,False,male,59,0,0,"13,5"
234,True,female,5,4,2,"31,3875"
235,False,male,24,0,0,"10,5"
237,False,male,44,1,0,26
238,True,female,8,0,2,"26,25"
239,False,male,19,0,0,"10,5"
240,False,male,33,0,0,"12,275"
243,False,male,29,0,0,"10,5"
244,False,male,22,0,0,"7,125"
245,False,male,30,0,0,"7,225"
246,False,male,44,2,0,-90
247,False,female,25,0,0,"7,775"
248,True,female,24,0,2,"14,5"
249,True,male,37,1,1,"52,5542"
250,False,male,54,1,0,26
252,False,female,29,1,1,"10,4625"
253,False,male,62,0,0,"26,55"
254,False,male,30,1,0,"16,1"
255,False,female,41,0,2,"20,2125"
256,True,female,29,0,2,"15,2458"
258,True,female,30,0,0,"86,5"
259,True,female,35,0,0,"512,3292"
260,True,female,50,0,1,26
262,True,male,3,4,2,"31,3875"
263,False,male,52,1,1,"79,65"
264,False,male,40,0,0,0
266,False,male,36,0,0,"10,5"
267,False,male,16,4,1,"39,6875"
268,True,male,25,1,0,"7,775"
269,True,female,58,0,1,"153,4625"
270,True,female,35,0,0,"135,6333"
272,True,male,25,0,0,0
273,True,female,41,0,1,"19,5"
274,False,male,37,0,1,"29,7"
276,True,female,63,1,0,"77,9583"
277,False,female,45,0,0,"7,75"
279,False,male,7,4,1,"29,125"
280,True,female,35,1,1,"20,25"
281,False,male,65,0,0,"7,75"
282,False,male,28,0,0,"7,8542"
283,False,male,16,0,0,"9,5"
284,True,male,19,0,0,"8,05"
286,False,male,33,0,0,"8,6625"
287,True,male,30,0,0,"9,5"
288,False,male,22,0,0,"7,8958"
289,True,male,42,0,0,13
290,True,female,22,0,0,"7,75"
291,True,female,26,0,0,"78,85"
292,True,female,19,1,0,"91,0792"
293,False,male,36,0,0,"12,875"
294,False,female,24,0,0,"8,85"
295,False,male,24,0,0,"7,8958"
298,False,female,2,1,2,"151,55"
300,True,female,50,0,1,"247,5208"
303,False,male,19,0,0,0
308,True,female,17,1,0,"108,9"
309,False,male,30,1,0,24
310,True,female,30,0,0,"56,9292"
311,True,female,24,0,0,"83,1583"
312,True,female,18,2,2,"262,375"
313,False,female,26,1,1,26
314,False,male,28,0,0,"7,8958"
315,False,male,43,1,1,"26,25"
316,True,female,26,0,0,"7,8542"
317,True,female,24,1,0,26
318,False,male,54,0,0,14
319,True,female,31,0,2,"164,8667"
320,True,female,40,1,1,"134,5"
321,False,male,22,0,0,"7,25"
322,False,male,27,0,0,"7,8958"
323,True,female,30,0,0,"12,35"
324,True,female,22,1,1,29
326,True,female,36,0,0,"135,6333"
327,False,male,61,0,0,"6,2375"
328,True,female,36,0,0,13
329,True,female,31,1,1,"20,525"
330,True,female,16,0,1,"57,9792"
333,False,male,38,0,1,"153,4625"
334,False,male,16,2,0,18
337,False,male,29,1,0,"66,6"
338,True,female,41,0,0,"134,5"
339,True,male,45,0,0,"8,05"
340,False,male,45,0,0,"35,5"
341,True,male,2,1,1,26
342,True,female,24,3,2,263
343,False,male,28,0,0,13
344,False,male,25,0,0,13
345,False,male,36,0,0,13
346,True,female,24,0,0,13
347,True,female,40,0,0,13
349,True,male,3,1,1,"15,9"
350,False,male,42,0,0,"8,6625"
351,False,male,23,0,0,"9,225"
353,False,male,15,1,1,"7,2292"
354,False,male,25,1,0,"17,8"
356,False,male,28,0,0,"9,5"
357,True,female,22,0,1,55
358,False,female,38,0,0,13
361,False,male,40,1,4,"27,9"
362,False,male,29,1,0,"27,7208"
363,False,female,45,0,1,"14,4542"
364,False,male,35,0,0,"7,05"
366,False,male,30,0,0,"7,25"
367,True,female,60,1,0,"75,25"
370,True,female,24,0,0,"69,3"
371,True,male,25,1,0,"55,4417"
372,False,male,18,1,0,"6,4958"
373,False,male,19,0,0,"8,05"
374,False,male,22,0,0,"135,6333"
375,False,female,3,3,1,"21,075"
377,True,female,22,0,0,"7,25"
378,False,male,27,0,2,"211,5"
379,False,male,20,0,0,"4,0125"
380,False,male,19,0,0,"7,775"
381,True,female,42,0,0,"227,525"
382,True,female,1,0,2,"15,7417"
383,False,male,32,0,0,"7,925"
384,True,female,35,1,0,52
386,False,male,18,0,0,"73,5"
387,False,male,1,5,2,"46,9"
388,True,female,36,0,0,13
390,True,female,17,0,0,12
391,True,male,36,1,2,120
392,True,male,21,0,0,"7,7958"
393,False,male,28,2,0,"7,925"
394,True,female,23,1,0,"113,275"
395,True,female,24,0,2,"16,7"
396,False,male,22,0,0,"7,7958"
397,False,female,31,0,0,"7,8542"
398,False,male,46,0,0,26
399,False,male,23,0,0,"10,5"
400,True,female,28,0,0,"12,65"
401,True,male,39,0,0,"7,925"
402,False,male,26,0,0,"8,05"
403,False,female,21,1,0,"9,825"
404,False,male,28,1,0,"15,85"
405,False,female,20,0,0,"8,6625"
406,False,male,34,1,0,21
407,False,male,51,0,0,"7,75"
408,True,male,3,1,1,"18,75"
409,False,male,21,0,0,"7,775"
413,True,female,33,1,0,90
415,True,male,44,0,0,"7,925"
417,True,female,34,1,1,"32,5"
418,True,female,18,0,2,13
419,False,male,30,0,0,13
420,False,female,10,0,2,"24,15"
422,False,male,21,0,0,"7,7333"
423,False,male,29,0,0,"7,875"
424,False,female,28,1,1,"14,4"
425,False,male,18,1,1,"20,2125"
427,True,female,28,1,0,26
428,True,female,19,0,0,26
430,True,male,32,0,0,"8,05"
431,True,male,28,0,0,"26,55"
433,True,female,42,1,0,26
434,False,male,17,0,0,"7,125"
435,False,male,50,1,0,"55,9"
436,True,female,14,1,2,120
437,False,female,21,2,2,"34,375"
438,True,female,24,2,3,"18,75"
439,False,male,64,1,4,263
440,False,male,31,0,0,"10,5"
441,True,female,45,1,1,"26,25"
442,False,male,20,0,0,"9,5"
443,False,male,25,1,0,"7,775"
444,True,female,28,0,0,13
446,True,male,4,0,2,"81,8583"
447,True,female,13,0,1,"19,5"
448,True,male,34,0,0,"26,55"
449,True,female,5,2,1,"19,2583"
450,True,male,52,0,0,"30,5"
451,False,male,36,1,2,"27,75"
453,False,male,30,0,0,"27,75"
454,True,male,49,1,0,"89,1042"
456,True,male,29,0,0,"7,8958"
457,False,male,65,0,0,"26,55"
459,True,female,50,0,0,"10,5"
461,True,male,48,0,0,"26,55"
462,False,male,34,0,0,"8,05"
463,False,male,47,0,0,"38,5"
464,False,male,48,0,0,13
466,False,male,38,0,0,"7,05"
468,False,male,56,0,0,"26,55"
472,False,male,38,0,0,"8,6625"
473,True,female,33,1,2,"27,75"
474,True,female,23,0,0,"13,7917"
475,False,female,22,0,0,"9,8375"
477,False,male,34,1,0,21
478,False,male,29,1,0,"7,0458"
479,False,male,22,0,0,"7,5208"
480,True,female,2,0,1,"12,2875"
481,False,male,9,5,2,"46,9"
483,False,male,50,0,0,"8,05"
484,True,female,63,0,0,"9,5875"
485,True,male,25,1,0,"91,0792"
487,True,female,35,1,0,90
488,False,male,58,0,0,"29,7"
489,False,male,30,0,0,"8,05"
490,True,male,9,1,1,"15,9a"
492,False,male,21,0,0,"7,25"
493,False,male,55,0,0,"30,5"
494,False,male,71,0,0,"49,5042"
495,False,male,21,0,0,"8,05"
497,True,female,54,1,0,"78,2667"
499,False,female,25,1,2,"151,55"
500,False,male,24,0,0,"7,7958"
501,False,male,17,0,0,"8,6625"
502,False,female,21,0,0,"7,75"
504,False,female,37,0,0,"9,5875"
505,True,female,16,0,0,"86,5"
506,False,male,18,1,0,"108,9"
507,True,female,33,0,2,26
509,False,male,28,0,0,"22,525"
510,True,male,26,0,0,"56,4958"
511,True,male,29,0,0,"7,75"
513,True,male,36,0,0,"26,2875"
514,True,female,54,1,0,"59,4"
515,False,male,24,0,0,"7,4958"
516,False,male,47,0,0,"34,0208"
517,True,female,34,0,0,"10,5"
519,True,female,36,1,0,26
520,False,male,32,0,0,"7,8958"
522,False,male,22,0,0,"7,8958"
524,True,female,44,0,1,"57,9792"
527,True,female,50,0,0,"10,5"
529,False,male,39,0,0,"7,925"
530,False,male,23,2,1,"11,5"
531,True,female,2,1,1,26
533,False,male,17,1,1,"7,2292"
535,False,female,30,0,0,"8,6625"
536,True,female,7,0,2,"26,25"
537,False,male,45,0,0,"26,55"
538,True,female,30,0,0,"106,425"
540,True,female,22,0,2,"49,5"
541,True,female,36,0,2,71
542,False,female,9,4,2,"31,275"
543,False,female,11,4,2,"31,275"
544,True,male,32,1,0,26
545,False,male,50,1,0,"106,425"
546,False,male,64,0,0,26
547,True,female,19,1,0,26
549,False,male,33,1,1,"20,525"
550,True,male,8,1,1,"36,75"
551,True,male,17,0,2,"110,8833"
552,False,male,27,0,0,26
554,True,male,22,0,0,"7,225"
555,True,female,22,0,0,"7,775"
556,False,male,62,0,0,"26,55"
557,True,female,48,1,0,"39,6"
559,True,female,39,1,1,"79,65"
560,True,female,36,1,0,"17,4"
562,False,male,40,0,0,"7,8958"
563,False,male,28,0,0,"13,5"
566,False,male,24,2,0,"24,15"
567,False,male,19,0,0,"7,8958"
568,False,female,29,0,4,"21,075"
570,True,male,32,0,0,"7,8542"
571,True,male,62,0,0,"10,5"
572,True,female,53,2,0,"51,4792"
573,True,male,36,0,0,"26,3875"
575,False,male,16,0,0,"8,05"
576,False,male,19,0,0,"14,5"
577,True,female,34,0,0,13
578,True,female,39,1,0,"55,9"
580,True,male,32,0,0,"7,925"
581,True,female,25,1,1,30
582,True,female,39,1,1,"110,8833"
583,False,male,54,0,0,26
584,False,male,36,0,0,"40,125"
586,True,female,18,0,2,"79,65"
587,False,male,47,0,0,15
588,True,male,60,1,1,"79,2"
589,False,male,22,0,0,"8,05"
591,False,male,35,0,0,"7,125"
592,True,female,52,1,0,"78,2667"
593,False,male,47,0,0,"7,25"
595,False,male,37,1,0,26
596,False,male,36,1,1,"24,15"
598,False,male,49,0,0,0
600,True,male,49,1,0,"56,9292"
601,True,female,24,2,1,27
604,False,male,44,0,0,"8,05"
605,True,male,35,0,0,"26,55"
606,False,male,36,1,0,"15,55"
607,False,male,30,0,0,"7,8958"
608,True,male,27,0,0,"30,5"
609,True,female,22,1,2,"41,5792"
610,True,female,40,0,0,"153,4625"
611,False,female,39,1,5,"31,275"
615,False,male,35,0,0,"8,05"
616,True,female,24,1,2,65
617,False,male,34,1,1,"14,4"
618,False,female,26,1,0,"16,1"
619,True,female,4,2,1,39
620,False,male,26,0,0,"10,5"
621,False,male,27,1,0,"14,4542"
622,True,male,42,1,0,"52,5542"
623,True,male,20,1,1,"15,7417"
624,False,male,21,0,0,"7,8542"
625,False,male,21,0,0,"16,1"
626,False,male,61,0,0,"32,3208"
627,False,male,57,0,0,"12,35"
628,True,female,21,0,0,"77,9583"
629,False,male,26,0,0,"7,8958"
631,True,male,80,0,0,30
632,False,male,51,0,0,"7,0542"
633,True,male,32,0,0,"30,5"
635,False,female,9,3,2,"27,9"
636,True,female,28,0,0,13
637,False,male,32,0,0,"7,925"
638,False,male,31,1,1,"26,25"
639,False,female,41,0,5,"39,6875"
641,False,male,20,0,0,"7,8542"
642,True,female,24,0,0,"69,3"
643,False,female,2,3,2,"27,9"
646,True,male,48,1,0,"76,7292"
647,False,male,19,0,0,"7,8958"
648,True,male,56,0,0,"35,5"
650,True,female,23,0,0,"7,55"
652,True,female,18,0,1,23
653,False,male,21,0,0,"8,4333"
655,False,female,18,0,0,"6,75"
656,False,male,24,2,0,"73,5"
658,False,female,32,1,1,"15,5"
659,False,male,23,0,0,13
660,False,male,58,0,2,"113,275"
661,True,male,50,2,0,"133,65"
662,False,male,40,0,0,"7,225"
663,False,male,47,0,0,"25,5875"
664,False,male,36,0,0,"7,4958"
665,True,male,20,1,0,"7,925"
666,False,male,32,2,0,"73,5"
669,False,male,43,0,0,"8,05"
671,True,female,40,1,1,39
672,False,male,31,1,0,52
673,False,male,70,0,0,"10,5"
674,True,male,31,0,0,13
676,False,male,18,0,0,"7,775"
678,True,female,18,0,0,"9,8417"
225,True,male,38,1,0,90
680,True,male,36,0,1,"512,3292"
682,True,male,27,0,0,"76,7292"
683,False,male,20,0,0,"9,225"
684,False,male,14,5,2,"46,9"
685,False,male,60,1,1,39
686,False,male,25,1,2,"41,5792"
687,False,male,14,4,1,"39,6875"
688,False,male,19,0,0,"10,1708"
689,False,male,18,0,0,"7,7958"
690,True,female,15,0,1,"211,3375"
691,True,male,31,1,0,57
692,True,female,4,0,1,"13,4167"
694,False,male,25,0,0,"7,225"
695,False,male,60,0,0,"26,55"
696,False,male,52,0,0,"13,5"
697,False,male,44,0,0,"8,05"
699,False,male,49,1,1,"110,8833"
700,False,male,42,0,0,"7,65"
701,True,female,18,1,0,"227,525"
702,True,male,35,0,0,"26,2875"
703,False,female,18,0,1,"14,4542"
704,False,male,25,0,0,"7,7417"
705,False,male,26,1,0,"7,8542"
706,False,male,39,0,0,26
707,True,female,45,0,0,"13,5"
708,True,male,42,0,0,"26,2875"
709,True,female,22,0,0,"151,55"
711,True,female,24,0,0,"49,5042"
713,True,male,48,1,0,52
714,False,male,29,0,0,"9,4833"
715,False,male,52,0,0,13
716,False,male,19,0,0,"7,65"
717,True,female,38,0,0,"227,525"
718,True,female,27,0,0,"10,5"
720,False,male,33,0,0,"7,775"
721,True,female,6,0,1,33
722,False,male,17,1,0,"7,0542"
723,False,male,34,0,0,13
724,False,male,50,0,0,13
725,True,male,27,1,0,"53,1"
726,False,male,20,0,0,"8,6625"
727,True,female,30,3,0,21
729,False,male,25,1,0,26
730,False,female,25,1,0,"7,925"
731,True,female,29,0,0,"211,3375"
732,False,male,11,0,0,"18,7875"
734,False,male,23,0,0,13
735,False,male,23,0,0,13
737,False,female,48,1,3,"34,375"
738,True,male,35,0,0,"512,3292"
742,False,male,36,1,0,"78,85"
743,True,female,21,2,2,"262,375"
744,False,male,24,1,0,"16,1"
745,True,male,31,0,0,"7,925"
746,False,male,70,1,1,71
747,False,male,16,1,1,"20,25"
748,True,female,30,0,0,13
749,False,male,19,1,0,"53,1"
750,False,male,31,0,0,"7,75"
751,True,female,4,1,1,23
752,True,male,6,0,1,"12,475"
753,False,male,33,0,0,"9,5"
754,False,male,23,0,0,"7,8958"
755,True,female,48,1,2,65
757,False,male,28,0,0,"7,7958"
758,False,male,18,0,0,"11,5"
759,False,male,34,0,0,"8,05"
760,True,female,33,0,0,"86,5"
762,False,male,41,0,0,"7,125"
763,True,male,20,0,0,"7,2292"
764,True,female,36,1,2,120
765,False,male,16,0,0,"7,775"
766,True,female,51,1,0,"77,9583"
770,False,male,32,0,0,"8,3625"
771,False,male,24,0,0,"9,5"
772,False,male,48,0,0,"7,8542"
773,False,female,57,0,0,"10,5"
775,True,female,54,1,3,23
776,False,male,18,0,0,"7,75"
778,True,female,5,0,0,"12,475"
780,True,female,43,0,1,"211,3375"
781,True,female,13,0,0,"7,2292"
782,True,female,17,1,0,57
783,False,male,29,0,0,30
785,False,male,25,0,0,"7,05"
786,False,male,25,0,0,"7,25"
787,True,female,18,0,0,"7,4958"
788,False,male,8,4,1,"29,125"
789,True,male,1,1,2,"20,575"
790,False,male,46,0,0,"79,2"
792,False,male,16,0,0,26
795,False,male,25,0,0,"7,8958"
796,False,male,39,0,0,13
797,True,female,49,0,0,"25,9292"
798,True,female,31,0,0,"8,6833"
799,False,male,30,0,0,"7,2292"
800,False,female,30,1,1,"24,15"
801,False,male,34,0,0,13
802,True,female,31,1,1,"26,25"
803,True,male,11,1,2,120
805,True,male,27,0,0,"6,975"
806,False,male,31,0,0,"7,775"
807,False,male,39,0,0,0
808,False,female,18,0,0,"7,775"
809,False,male,39,0,0,13
810,True,female,33,1,0,"53,1"
811,False,male,26,0,0,"7,8875"
812,False,male,39,0,0,"24,15"
813,False,male,35,0,0,"10,5"
814,False,female,6,4,2,"31,275"
817,False,female,23,0,0,"7,925"
818,False,male,31,1,1,"37,0042"
819,False,male,43,0,0,"6,45"
820,False,male,10,3,2,"27,9"
821,True,female,52,1,1,"93,5"
822,True,male,27,0,0,"8,6625"
823,False,male,38,0,0,0
824,True,female,27,0,1,"12,475"
825,False,male,2,4,1,"39,6875"
828,True,male,1,0,2,"37,0042"
830,True,female,62,0,0,80
831,True,female,15,1,0,"14,4542"
834,False,male,23,0,0,"7,8542"
835,False,male,18,0,0,"8,3"
836,True,female,39,1,1,"83,1583"
837,False,male,21,0,0,"8,6625"
839,True,male,32,0,0,"56,4958"
841,False,male,20,0,0,"7,925"
842,False,male,16,0,0,"10,5"
843,True,female,30,0,0,31
845,False,male,17,0,0,"8,6625"
846,False,male,42,0,0,"7,55"
848,False,male,35,0,0,"7,8958"
849,False,male,28,0,1,33
851,False,male,4,4,2,"31,275"
852,False,male,74,0,0,"7,775"
853,False,female,9,1,1,"15,2458"
854,True,female,16,0,1,"39,4"
855,False,female,44,1,0,26
856,True,female,18,0,1,"9,35"
857,True,female,45,1,1,"164,8667"
858,True,male,51,0,0,"26,55"
859,True,female,24,0,3,"19,2583"
861,False,male,41,2,0,"14,1083"
862,False,male,21,1,0,"11,5"
863,True,female,48,0,0,"25,9292"
865,False,male,24,0,0,13
866,True,female,42,0,0,13
867,True,female,27,1,0,"13,8583"
868,False,male,31,0,0,"50,4958"
870,True,male,4,1,1,"11,1333"
871,False,male,26,0,0,"7,8958"
872,True,female,47,1,1,"52,5542"
873,False,male,33,0,0,5
874,False,male,47,0,0,9
875,True,female,28,1,0,24
876,True,female,15,0,0,"7,225"
877,False,male,20,0,0,"9,8458"
878,False,male,19,0,0,"7,8958"
880,True,female,56,0,1,"83,1583"
881,True,female,25,0,1,26
882,False,male,33,0,0,"7,8958"
883,False,female,22,0,0,"10,5167"
884,False,male,28,0,0,"10,5"
885,False,male,25,0,0,"7,05"
886,False,female,39,0,5,"29,125"
887,False,male,27,0,0,13
888,True,female,19,0,0,30
890,True,male,26,0,0,30
891,False,male,32,0,0,"7,75"
1000,True,male,38,1,0,90
